policy_id,policy_name,department_id,department_name,framework_alignment,last_reviewed,version,review_cycle_months,policy_owner,approval_authority,status,covers_rbi_clause,covers_dpdp_clause,covers_cert_in_clause,gap_flag,gap_description
POL-SEC-101,Enterprise Access Control and Multi-Factor Authentication Policy,DEPT-001,Cybersecurity & IT Risk,"RBI-Cyber-2016 / RBI-DPS-2021",2024-01-15,v3.1,12,CISO,Board IT & Risk Committee,Active,RBI-CYB-02 / RBI-DPS-05 / RBI-CYB-10,,,"No","Full MFA coverage for privileged and customer-facing accounts. PAM controls with session recording defined."
POL-SEC-201,Network Security Perimeter Defense and Segmentation Policy,DEPT-001,Cybersecurity & IT Risk,"RBI-Cyber-2016 / RBI-DPS-2021",2023-11-20,v2.4,12,Head of Network Security,CISO,Active,RBI-CYB-07 / RBI-DPS-06 / RBI-CYB-03,,,No,"TLS 1.2+ enforcement and network zone segregation defined. Patch management SLA of 30 days specified."
POL-SEC-301,Endpoint Security and Device Management Policy,DEPT-001,Cybersecurity & IT Risk,"RBI-Cyber-2016 / ISO-27001-2022",2023-09-15,v2.0,12,Head of InfoSec,CISO,Under Review,RBI-CYB-15 / RBI-DPS-02,,,Yes,"Policy does not explicitly address ATM endpoint hardening requirements under RBI-CYB-15. Requires update to include ATM-specific controls."
POL-SEC-401,Vulnerability Management and Security Testing Policy,DEPT-001,Cybersecurity & IT Risk,"RBI-Cyber-2016 / RBI-DPS-2021",2024-02-20,v1.8,6,Head of InfoSec,CISO,Active,RBI-DPS-03 / RBI-CYB-06 / RBI-CYB-03,,,No,"Annual VAPT for payment apps defined. Biennial third-party pen testing scope specified. 30-day critical patch SLA covered."
POL-SEC-501,Security Operations and SIEM Policy,DEPT-001,Cybersecurity & IT Risk,"RBI-Cyber-2016 / CERT-In-2022",2024-03-01,v2.2,6,SOC Manager,CISO,Active,RBI-CYB-04 / RBI-CYB-05 / RBI-CYB-12,CERT-IN-01 / CERT-IN-02,,"No","24x7 SOC defined with threat intelligence integration. SIEM with 180-day online and 1-year archival log retention. APT detection capability specified."
POL-SEC-GOV-001,Information Security Governance and Cyber Security Framework Policy,DEPT-001,Cybersecurity & IT Risk,"RBI-Cyber-2016 / ISO-27001-2022",2024-01-20,v2.0,12,CISO,Board,Active,RBI-CYB-01 / RBI-CYB-02 / RBI-CYB-10,,,No,"Board-approved Cyber Security Policy distinct from IT Policy. Annual review cycle. PAM governance framework defined."
POL-APP-201,Secure Mobile and Application Development Policy,DEPT-001,Cybersecurity & IT Risk,"RBI-DPS-2021 / RBI-DLEND-2022 / OWASP-MASVS",2024-02-28,v1.5,6,Head of AppSec,CISO,Active,RBI-DPS-02 / RBI-KYC-07 / RBI-DLEND-05 / RBI-CYB-02,,,No,"Prohibits local device storage of sensitive data. Mandates server-side processing for authentication. Mobile permission framework for lending apps explicitly defined."
POL-APP-301,Application Security Testing and Software Supply Chain Policy,DEPT-001,Cybersecurity & IT Risk,"RBI-DPS-2021 / RBI-Cyber-2016",2024-01-10,v1.2,6,Head of AppSec,CISO,Active,RBI-DPS-03 / RBI-DPS-08 / RBI-CYB-14,,,No,"SAST/DAST for all banking apps before release. SBOM tracking for open-source components. Third-party payment vendor VAPT requirement."
POL-INFRA-101,IT Infrastructure Security and Baseline Configuration Policy,DEPT-001,Cybersecurity & IT Risk,"RBI-Cyber-2016 / CERT-In-2022",2023-12-10,v2.1,12,Head of Infrastructure,CISO,Active,RBI-CYB-03 / RBI-CYB-07,CERT-IN-03,,"No","TLS version enforcement across infrastructure. NTP synchronisation with NIC/NPL servers mandated. Baseline hardening standards defined."
POL-INFRA-201,IT Asset and Inventory Management Policy,DEPT-001,Cybersecurity & IT Risk,"RBI-DPS-2021 / RBI-OUTSRC-2023",2023-10-20,v1.3,12,Head of Infrastructure,CISO,Active,RBI-DPS-09 / RBI-OUTSRC-02,,,No,"Quarterly digital payment asset inventory review. IT outsourcing register maintenance covered. Cloud and on-premise asset tracking unified."
POL-INFRA-301,Business Continuity and Disaster Recovery Policy,DEPT-001,Cybersecurity & IT Risk,"RBI-Cyber-2016 / RBI-BCP-Circular",2024-01-05,v3.0,12,Head of Business Continuity,CRO,Active,RBI-CYB-09,,,No,"Biannual DR drills defined. Maximum Tolerable Downtime of 2 hours for critical systems specified. Recovery Time Objectives aligned to RBI thresholds."
POL-INC-101,Cyber Incident Response and Regulatory Reporting Policy,DEPT-001,Cybersecurity & IT Risk,"RBI-Cyber-2016 / RBI-DPS-2021 / CERT-In-2022",2024-03-05,v2.5,6,Head of Incident Response,CISO,Active,RBI-CYB-13 / RBI-DPS-07,CERT-IN-01,,"No","6-hour reporting to CERT-In. 2-6 hour reporting to RBI for cyber incidents. 24-hour detailed report submission. Payment fraud escalation matrix defined."
POL-COMP-201,Customer Due Diligence and KYC Onboarding Standard,DEPT-002,Regulatory Compliance,"RBI-KYC-2025",2024-03-01,v5.0,6,Head of KYC,CCO,Active,RBI-KYC-01 / RBI-KYC-02 / RBI-KYC-04 / RBI-KYC-12,,,No,"Full CDD including OVD-based verification. Beneficial owner identification for non-individual entities. Small account conversion to full KYC within 24 months. Anonymous account prohibition with freeze protocol."
POL-COMP-202,Anti-Money Laundering and CFT Policy,DEPT-002,Regulatory Compliance,"RBI-KYC-2025 / FIU-IND-Guidelines",2024-01-15,v4.2,12,Head of AML,CCO,Active,RBI-KYC-10 / RBI-KYC-03,,,No,"Board-approved AML/CFT policy with annual review. EDD for high-risk customers. Transaction monitoring system integrated with STR workflow."
POL-COMP-203,Suspicious Transaction Reporting SOP,DEPT-002,Regulatory Compliance,"RBI-KYC-2025 / FIU-IND-Guidelines",2024-02-28,v2.5,6,AML Compliance Manager,CCO,Active,RBI-KYC-08 / RBI-KYC-11,,,No,"STR filing within 7 working days of suspicion detection. No tipping-off controls. Principal Officer as single FIU-IND point of contact. Escalation matrix defined."
POL-COMP-204,Enhanced Due Diligence and PEP Screening Policy,DEPT-002,Regulatory Compliance,"RBI-KYC-2025",2024-01-20,v2.8,12,Head of AML,CCO,Active,RBI-KYC-03 / RBI-KYC-04,,,No,"EDD for PEPs NRIs high-value customers and high-risk jurisdiction customers. Senior management approval for PEP onboarding. Ongoing periodic PEP review."
POL-COMP-205,Sanctions Screening and Embargoes Compliance Policy,DEPT-002,Regulatory Compliance,"RBI-KYC-2025 / UNSC / OFAC",2024-01-20,v2.3,6,Compliance Manager,CCO,Active,RBI-KYC-09,,,No,"Real-time UNSC consolidated list and domestic designated list screening at onboarding and continuously. Immediate escalation and FIU-IND reporting for matches."
POL-COMP-206,Video KYC (V-CIP) Operational Procedure,DEPT-002,Regulatory Compliance,"RBI-KYC-2025 / RBI-V-CIP-2020",2024-03-10,v1.8,6,Head of KYC,CCO,Active,RBI-KYC-07,,,No,"Live interaction with liveness detection geo-tagging and face match with OVD. Only trained and certified officials conduct V-CIP sessions."
POL-COMP-207,Re-KYC Periodic Updation and Small Account Management SOP,DEPT-002,Regulatory Compliance,"RBI-KYC-2025",2024-02-15,v2.3,6,Head of KYC,CCO,Under Review,RBI-KYC-06 / RBI-KYC-04,,,Yes,"Re-KYC frequency thresholds are defined but the automated trigger system for 2/8/10 year cycles is not yet implemented. Manual tracking is error-prone and creates compliance exposure."
