clause_id,regulation_name,regulator,year,section_ref,clause_type,verbatim_clause_text,obligation_subject,obligation_action,deadline_type,deadline_days,penalty_inr_max,domain
RBI-DPS-01,Master Direction on Digital Payment Security Controls,RBI,2021,Section 4.1,Obligation,Entities must always mask sensitive customer information such as card numbers and account numbers in all storage logs and displays. The full Primary Account Number (PAN) shall not be stored in any application logs or display screens after the transaction is complete.,Bank / Payment System Operator,Mask PAN and account numbers in all logs displays and storage,Immediate / Ongoing,0,50000000,Data Security
RBI-DPS-02,Master Direction on Digital Payment Security Controls,RBI,2021,Section 5.3,Prohibition,Mobile applications should not be designed to store any sensitive information on the device including credentials tokens session data or any PII. All sensitive processing shall be performed server-side only.,Bank / Payment App Developer,Prohibit local device storage of sensitive data in mobile apps,Immediate / Ongoing,0,50000000,Mobile Security
RBI-DPS-03,Master Direction on Digital Payment Security Controls,RBI,2021,Section 4.2,Obligation,All payment applications shall undergo security testing including Vulnerability Assessment and Penetration Testing (VAPT) at least once a year and upon every major release. Results shall be reported to the Board.,Bank / Payment App Owner,Annual VAPT for all payment applications with Board reporting,Annual,365,50000000,Application Security
RBI-DPS-04,Master Direction on Digital Payment Security Controls,RBI,2021,Section 6.1,Obligation,Banks shall implement transaction monitoring systems to detect anomalous or fraudulent payment transactions in real time. Alerts for suspicious transactions shall be generated and acted upon within defined SLAs.,Bank,Implement real-time transaction anomaly monitoring with SLA-bound alert resolution,Immediate / Ongoing,0,50000000,Fraud Controls
RBI-DPS-05,Master Direction on Digital Payment Security Controls,RBI,2021,Section 7.2,Obligation,Strong Customer Authentication (SCA) involving at least two independent factors shall be implemented for all digital payment transactions above ₹2000. Authentication factors shall include something the user knows something the user has and/or something the user is.,Bank,Enforce multi-factor authentication for payments above ₹2000,Immediate / Ongoing,0,50000000,Authentication
RBI-DPS-06,Master Direction on Digital Payment Security Controls,RBI,2021,Section 8.1,Obligation,All data in transit across public networks for digital payment transactions shall be encrypted using TLS 1.2 or higher. Use of deprecated protocols such as SSL TLS 1.0 and TLS 1.1 is strictly prohibited.,Bank / Payment System Operator,Enforce TLS 1.2+ for all payment data in transit; prohibit deprecated protocols,Immediate / Ongoing,0,50000000,Network Security
RBI-DPS-07,Master Direction on Digital Payment Security Controls,RBI,2021,Section 9.3,Obligation,Banks shall maintain an incident response mechanism for payment fraud events including defined escalation matrix communication protocols and mandatory reporting to RBI within 6 hours of a confirmed cyber-related payment fraud event.,Bank,Payment fraud incident response with 6-hour RBI reporting,6 hours from incident detection,0,50000000,Incident Response
RBI-DPS-08,Master Direction on Digital Payment Security Controls,RBI,2021,Section 10.1,Obligation,Third-party payment application providers shall be subjected to due diligence and security assessment by the bank before onboarding and at least annually thereafter. Contractual provisions shall mandate compliance with these directions.,Bank,Third-party payment vendor security due diligence before onboarding and annually,Annual,365,50000000,Vendor Risk
RBI-DPS-09,Master Direction on Digital Payment Security Controls,RBI,2021,Section 11.2,Obligation,Banks shall maintain a comprehensive inventory of all digital payment assets including hardware software APIs and third-party integrations. This inventory shall be reviewed and updated at least quarterly.,Bank,Maintain and quarterly-update digital payment asset inventory,Quarterly,90,50000000,Asset Management
RBI-DPS-10,Master Direction on Digital Payment Security Controls,RBI,2021,Section 12.1,Obligation,Customer facing digital payment channels shall display clear and prominent security advisories. Banks shall run customer awareness programs on safe digital payment practices at least twice a year.,Bank,Biannual customer awareness programs on digital payment safety,Biannual,180,10000000,Customer Awareness
RBI-KYC-01,Master Direction on Know Your Customer (KYC),RBI,2025,Section 10,Obligation,Every reporting entity shall carry out Customer Due Diligence (CDD) procedure at the time of commencement of an account-based relationship with a customer. CDD shall include identifying the customer and verifying their identity using reliable and independent source documents data or information.,Reporting Entity,Perform full CDD including identity verification at account opening,Immediate / Ongoing,0,50000000,KYC
RBI-KYC-02,Master Direction on Know Your Customer (KYC),RBI,2025,Section 11,Obligation,Reporting entities shall identify the beneficial owner for all non-individual customers including companies trusts and partnerships and shall verify the identity of the beneficial owner. For companies the beneficial owner is an individual who owns or controls more than 25% of shares or voting rights.,Reporting Entity,Identify and verify beneficial owners for all non-individual customer relationships,Immediate / Ongoing,0,50000000,KYC
RBI-KYC-03,Master Direction on Know Your Customer (KYC),RBI,2025,Section 13,Obligation,Reporting entities shall apply Enhanced Due Diligence (EDD) for higher risk categories of customers including Politically Exposed Persons Non-Resident customers high-value transaction customers and customers from high-risk jurisdictions. EDD shall include more frequent monitoring and senior management approval.,Reporting Entity,Apply Enhanced Due Diligence to high-risk customer categories,Immediate / Ongoing,0,100000000,KYC
RBI-KYC-04,Master Direction on Know Your Customer (KYC),RBI,2025,Section 16,Obligation,Reporting entities shall ensure that all accounts opened without completing full KYC (small accounts) are converted to full KYC accounts within 24 months. No further credits shall be permitted beyond the threshold if KYC is not completed within this period.,Reporting Entity,Convert small accounts to full KYC within 24 months,24 months from account opening,720,50000000,KYC
RBI-KYC-05,Master Direction on Know Your Customer (KYC),RBI,2025,Section 38,Obligation,Maintain all records relating to transactions and identification data obtained during the account opening process and during business relationships for at least 5 years after the business relationship has ended or the account has been closed. Records shall be made available to competent authorities on request.,Reporting Entity,Retain KYC and transaction records for minimum 5 years post relationship end,5 years post closure,1825,100000000,Data Retention
RBI-KYC-06,Master Direction on Know Your Customer (KYC),RBI,2025,Section 18,Obligation,Reporting entities shall carry out periodic updation of KYC records for existing customers. For high-risk customers the review shall be done every 2 years for medium-risk customers every 8 years and for low-risk customers every 10 years.,Reporting Entity,Periodic KYC updation at risk-tiered intervals (2/8/10 years),Risk-tiered cycle,730,50000000,KYC
RBI-KYC-07,Master Direction on Know Your Customer (KYC),RBI,2025,Section 18B,Permission,Regulated entities may use Video based Customer Identification Process (V-CIP) as an alternate method of KYC subject to conditions including live interaction liveness detection geo-tagging of coordinates and face match with OVD. The V-CIP shall be conducted only by trained and certified bank officials.,Reporting Entity,May conduct KYC via live video interaction with liveness detection and geo-tagging,Immediate / Ongoing,0,10000000,KYC - Digital
RBI-KYC-08,Master Direction on Know Your Customer (KYC),RBI,2025,Section 21,Obligation,Reporting entities shall file Suspicious Transaction Reports (STRs) with FIU-IND within 7 working days of concluding that a transaction is suspicious. There shall be no tipping off of the customer or any other person that a report has been filed.,Reporting Entity,File STR with FIU-IND within 7 working days of suspicion; maintain secrecy,7 working days from suspicion,10,100000000,AML
RBI-KYC-09,Master Direction on Know Your Customer (KYC),RBI,2025,Section 22,Obligation,All reporting entities shall screen customers and their beneficial owners against the UNSC Consolidated Sanctions List and domestic designated lists at the time of onboarding and on a continuous ongoing basis. Any match shall be immediately escalated to senior management and reported to FIU-IND.,Reporting Entity,Screen customers against sanctions lists at onboarding and continuously; escalate matches immediately,Immediate / Ongoing,0,100000000,Sanctions
